2022-04-21 15:09:10,319 | MainThread   | [INFO    ] | populate_views      |:  | Number of observations per grid cell: 18
2022-04-21 15:09:10,321 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Views...
2022-04-21 15:09:32,513 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Time: 22.187 secs
2022-04-21 15:09:32,521 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 15:09:32,527 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 17:31:12,676 | MainThread   | [INFO    ] | populate_views      |:  | Number of observations per grid cell: 18
2022-04-21 17:31:12,679 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Views...
2022-04-21 17:31:30,101 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Time: 17.420 secs
2022-04-21 17:31:30,134 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 17:31:30,136 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 17:33:12,790 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 17:33:12,794 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 17:34:34,364 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 17:34:34,370 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 17:35:10,033 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 17:35:10,035 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 17:35:31,916 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 17:35:31,918 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 17:35:36,439 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:35:36,454 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2022-04-21 17:35:36,456 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (2, 0, 0) with prob = 0.0005134
2022-04-21 17:35:36,459 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00051440329218107
2022-04-21 17:35:36,462 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.000, 0.000, 360.000)
2022-04-21 17:35:36,466 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-0.914, -1.219, -170.000)
2022-04-21 17:35:36,470 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.914, 1.219, 530.000)
2022-04-21 17:35:36,472 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:42:38,221 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-21 17:42:38,235 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (6, 3, 6)
2022-04-21 17:42:38,236 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (2, 4, 0) with prob = 0.0013320
2022-04-21 17:42:38,238 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (1.201, -0.090, 129.607)
