2022-04-21 13:41:25,542 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (tags/v3.10.4:9d38120, Mar 23 2022, 23:13:41) [MSC v.1929 64 bit (AMD64)]
2022-04-21 13:41:25,550 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-04-21 13:41:25,550 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-04-21 13:41:25,551 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-04-21 13:41:25,551 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-04-21 13:41:25,551 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-04-21 13:41:25,552 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-04-21 13:42:29,850 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 13:46:35,405 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (tags/v3.10.4:9d38120, Mar 23 2022, 23:13:41) [MSC v.1929 64 bit (AMD64)]
2022-04-21 13:46:35,407 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-04-21 13:46:35,408 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-04-21 13:46:35,408 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-04-21 13:46:35,408 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-04-21 13:46:35,409 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-04-21 13:46:35,410 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-04-21 13:46:37,164 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 13:47:33,185 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (tags/v3.10.4:9d38120, Mar 23 2022, 23:13:41) [MSC v.1929 64 bit (AMD64)]
2022-04-21 13:47:33,186 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-04-21 13:47:33,187 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-04-21 13:47:33,188 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-04-21 13:47:33,188 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-04-21 13:47:33,188 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-04-21 13:47:33,189 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-04-21 13:49:51,680 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 13:51:23,318 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (tags/v3.10.4:9d38120, Mar 23 2022, 23:13:41) [MSC v.1929 64 bit (AMD64)]
2022-04-21 13:51:23,319 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-04-21 13:51:23,320 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-04-21 13:51:23,320 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-04-21 13:51:23,320 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-04-21 13:51:23,322 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-04-21 13:51:23,322 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-04-21 13:51:49,917 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 13:54:48,417 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (tags/v3.10.4:9d38120, Mar 23 2022, 23:13:41) [MSC v.1929 64 bit (AMD64)]
2022-04-21 13:54:48,422 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-04-21 13:54:48,424 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-04-21 13:54:48,430 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-04-21 13:54:48,434 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-04-21 13:54:48,435 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-04-21 13:54:48,437 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-04-21 13:55:32,289 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 13:57:18,770 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 14:20:21,488 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 14:32:26,023 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
